Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Ciciii jgn sapu,@slipjaem,2024-06-30T23:54:24.000Z,False,"Udh mah demam pilekk batuk berdahak yg sempet berdarah jggg ehhh malah diare jg skrg

Knppsieee enih badan w",0,0,0,55,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1918096557435699200/XKn_zxoG_normal.jpg,https://x.com/slipjaem/status/1807563370092282248,tweet_id:1807563370092282248
zed,@TelaPohon,2024-06-30T23:52:42.000Z,False,Beruntung banget cuma kena demam ngga sampe demam berdarah,0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1916503732348682241/fUexZi6f_normal.jpg,https://x.com/TelaPohon/status/1807562939194609798,tweet_id:1807562939194609798
stillbi,@lilaccaca131,2024-06-30T19:49:52.000Z,False,demam berdarah sdh kek.a ini tidak tertolong,0,0,0,19,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1921582846876987392/rsECAXn3_normal.jpg,https://x.com/lilaccaca131/status/1807501827614871880,tweet_id:1807501827614871880
,@zionistenemy_,2024-06-30T14:10:59.000Z,False,"Kutanya sama kau brp sih jumlah muslim yang jd teroris? Kalopun ada kasus terorisme di indonesia contohnya, jg diselesaikan secara hukum sama penegak hukum yang muslim jg. 

Kau tau drmn aku takut sama mati? Jangan-jangan kau besok besok demam berdarah dah semaput duluan ",1,0,0,35,[],[],['\\U0001f349'],https://pbs.twimg.com/profile_images/1764287739787390976/VW5VurFL_normal.jpg,https://x.com/zionistenemy_/status/1807416544634577283,tweet_id:1807416544634577283
tempo.co,@tempodotco,2024-06-30T08:30:37.000Z,True,Tips Hindari Gigitan Nyamuk saat Kasus Demam Berdarah Naik https://gaya.tempo.co/read/1885771/tips-hindari-gigitan-nyamuk-saat-kasus-demam-berdarah-naik?utm_source=Twitter&utm_medium=dlvr.it… #TempoGaya,0,1,2,1.1K,['#TempoGaya'],[],[],https://pbs.twimg.com/profile_images/1895011381998424064/m0RPRhzr_normal.jpg,https://x.com/tempodotco/status/1807330888843493562,tweet_id:1807330888843493562
izzatul hayati,@IzzatulHY,2024-06-30T04:37:16.000Z,False,Selalu kena hujan sikit mmg terus demam. Ni siap pakej hidung berdarah lagi apooo. Lemah nau antibody,0,0,0,73,[],[],[],https://pbs.twimg.com/profile_images/1205376175159181314/94nPLyEV_normal.jpg,https://x.com/IzzatulHY/status/1807272165072654687,tweet_id:1807272165072654687
LIPUTAN6,@liputan6dotcom,2024-06-30T03:22:33.000Z,True,"Jangan Anggap Remeh Demam Berdarah Dengue, Cegah dengan Jaga Lingkungan dan Vaksinasi DBD http://dlvr.it/T8yQkg #Health",1,0,2,775,['#Health'],[],[],https://pbs.twimg.com/profile_images/1912108392551784449/G3vz80ep_normal.jpg,https://x.com/liputan6dotcom/status/1807253362754413015,tweet_id:1807253362754413015
Lita,@MiraninonLita,2024-06-30T01:11:21.000Z,False,"KUPANG,INDONESIA.Jika vaksinasi dilakukan hanya pada individu yg seronegatif,dapat meningkatkan kemungkinan kena demam berdarah yg parah.Utk mengurangi proporsi kasus demam berdarah yg parah, lebih baik melakukan vaksinasi pada individu yg seropositif..",1,2,2,93,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/MiraninonLita/status/1807220343989588324,tweet_id:1807220343989588324
Ungkapan Rasa,@ungkpanrasa,2024-06-29T23:40:21.000Z,True,Anti demam berdarah kalo pake ini semua nyamuk auto K.O,0,0,1,725,[],[],[],https://pbs.twimg.com/profile_images/1754814072774594560/sPHoEH76_normal.jpg,https://x.com/ungkpanrasa/status/1807197444234764291,tweet_id:1807197444234764291
IJENOQ,@ffatinxkeaii,2024-06-29T20:10:00.000Z,False,"Pernah kena TB, simptom dia demam waktu malam lebih 2 minggu. Kalau org dulu kata kes santau. Ya la kalau lambat dapatkan rawatan akan batuk berdarah. 

As i experienced this, apa apa aku akan refer hospital dlu baru kalau tk jalan cari alt lain.",0,0,0,298,[],[],[],https://pbs.twimg.com/profile_images/975674805268635650/Dq5KrtcV_normal.jpg,https://x.com/ffatinxkeaii/status/1807144508137914479,tweet_id:1807144508137914479
